"feature","J_XYL_F_0001_01","J_XYL_F_0001_02","J_XYL_F_0002_01","J_XYL_F_0002_02","J_XYL_F_0003_01","J_XYL_F_0003_02","J_XYL_F_0004_01","J_XYL_F_0004_02","J_XYL_F_0005_01","J_XYL_F_0005_02","J_XYL_F_0006_01","J_XYL_F_0006_02","J_XYL_F_0010_01","J_XYL_F_0010_02","J_XYL_F_0012_01","J_XYL_F_0012_02","J_XYL_F_0013_01","J_XYL_F_0013_02","J_XYL_F_0015_01","J_XYL_F_0015_02","J_XYL_F_0016_01","J_XYL_F_0016_02","J_XYL_F_0018_01","J_XYL_F_0018_02","J_XYL_F_0020_01","J_XYL_F_0020_02","J_XYL_F_0025_01","J_XYL_F_0025_02","J_XYL_F_0031_01","J_XYL_F_0031_02","J_XYL_F_0032_01","J_XYL_F_0032_02","J_XYL_F_0034_01","J_XYL_F_0034_02","J_XYL_F_0036_01","J_XYL_F_0036_02","J_XYL_F_0043_01","J_XYL_F_0043_2","J_XYL_F_0044_01","J_XYL_F_0044_02","J_XYL_F_0045_01","J_XYL_F_0045_2","J_XYL_F_0046_01","J_XYL_F_0046_02","J_XYL_F_0047_01","J_XYL_F_0047_02","J_XYL_F_0048_01","J_XYL_F_0049_02","J_XYL_F_0050_01","J_XYL_F_0050_02","J_XYL_F_0051_01","J_XYL_F_0051_02","J_XYL_F_0053_01","J_XYL_F_0053_02","J_XYL_F_0057_01","J_XYL_F_0057_02","J_XYL_F_0058_01","J_XYL_F_0058_02","J_XYL_F_0059_01","J_XYL_F_0059_02","J_XYL_F_0060_01","J_XYL_F_0060_02","J_XYL_F_0061_01","J_XYL_F_0061_02","J_XYL_F_0062_01","J_XYL_F_0062_02","J_XYL_F_0064_01","J_XYL_F_0064_02","J_XYL_F_0065_01","J_XYL_F_0065_02","J_XYL_F_0066_01","J_XYL_F_0066_02"
"k__Bacteria;__;__;__;__;__;__",5,0,0,0,0,11,6,3,3,0,0,0,8,3,0,0,7,0,0,5,0,0,0,0,15,0,0,7,6,5,3,0,0,0,0,8,0,0,0,0,0,6,13,0,3,0,2,0,0,0,8,0,3,4,0,10,0,10,0,0,0,6,0,0,4,0,2,0,276,17,0,3
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;__",0,79,0,0,0,0,0,0,0,0,0,0,383,29,0,0,98,0,0,69,0,0,0,0,0,53,0,168,0,0,0,0,0,0,0,0,41,0,0,147,0,34,0,45,105,0,0,369,0,0,0,39,108,0,0,0,0,0,0,0,0,0,0,0,0,68,0,85,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__hathewayi",0,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,14,0,0,0,0,19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,94
"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__rhizosphaerae",0,69,0,0,0,0,0,74,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,11,0,76,82,14,0,12,0,11,0,0,0,0,0,0,0,54,61,0,0,0,17,0,0,0,0,0,59,0,0,0,0,0,55,0,0,0,5,0,0,0,14,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__;s__",0,0,0,0,0,0,0,0,0,0,8,0,3,0,0,0,7,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,22
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__",0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,39,0,22,0,0,9,0,0,0,0,0,0,29,0,15,0,0,0,0,0,6,0,0,0,0,27,32,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,28,0,0,0,1048,204,0,0,134,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Veillonellaceae;g__Veillonella;s__parvula",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,71,76,0,0,0,0,56,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,2,98,0,91,0,0,0,0,30,22,0,73,0,24,66,0,43,156,79,78,0,0,0,87,181
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,12,0,0,0,0,0,0,0,17,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,23,0,20,16,0,0,0
"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__palleronii",0,104,0,0,0,23,0,0,0,0,0,0,0,0,0,158,0,103,0,0,0,0,32,0,0,0,32,136,123,0,0,103,172,0,0,0,84,0,0,0,0,182,196,18,20,163,150,0,26,0,0,0,160,0,0,0,0,0,155,0,0,17,0,0,15,0,95,0,0,0,0,0
"k__Bacteria;p__Bacteroidetes;c__[Saprospirae];o__[Saprospirales];f__Chitinophagaceae;g__;s__",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,68,0,0,0,61,0,0,0,17,0,0,0,0,0,31,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,31,0,0,7,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__onderdonkii",0,0,194,124,0,0,0,78,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,45,0,0
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__putredinis",0,0,348,44,299,0,40,0,111,123,0,0,119,106,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,117,0,472,0,0,0,0,0,53,120,113,394,0,0,0,0,0,0,0,0,0,0,0,134,0,113,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptostreptococcaceae;__;__",0,178,0,0,0,0,0,47,0,0,0,0,0,0,0,21,50,59,0,0,105,0,0,0,0,72,0,25,0,0,0,96,0,0,0,0,0,0,0,359,0,0,34,0,465,93,28,174,66,0,12,0,0,80,0,0,0,114,0,0,35,0,0,0,0,41,28,0,0,0,94,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__citroniae",116,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,70,0,0,0,0,0,139,127,0,0,89,0,0,90,0,0,0,0,0,0,0,128
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__breve",0,187,0,46,0,23,0,14,10,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,16,0,28,0,8,0,29,0,0,0,0,0,0,34,0,5,0,28,0,14,0,0,0,0,0,0,0,40,0,112,0,71,0,0,0,0,0,0,0,0,0,0,31
"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__bifidum",0,0,0,0,0,0,0,0,0,69,0,0,0,45,0,82,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172,29,0,0,0,0,0,0,0,0,2,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,3,42,26,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium;s__colinum",0,0,0,0,0,0,0,0,0,40,46,0,0,0,0,0,11,61,0,0,0,0,0,0,0,0,0,0,55,58,0,0,0,31,0,0,87,0,0,0,0,0,0,0,29,81,0,0,122,0,93,0,0,0,0,0,0,0,30,0,0,23,103,0,0,8,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__",0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,38,0,0,0,0,0,0,0,0,0,85,163,0,0,46,112,0,0,0,0,0,0,0,0,55,102,0,0,31,96,0,0,0,0,0,95,0,0,0,0,0,95,0,0,0,0,0,0,0,105,0,0,0,0,0
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Anaerotruncus;s__",0,0,0,64,41,0,77,80,0,0,0,0,0,73,0,0,0,0,0,0,0,0,28,0,32,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Agrobacterium;s__",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,27,0,59,0,39,0,48,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,10,0,0,0,0,0,0
